"Date","Open","High","Low","Last","Close","Total Trade Quantity","Turnover (Lacs)","bank_name"
2013-11-06,678.9,679.2,665.25,668,668.9,1152663,7721.69,"HDFC"
2013-11-05,680.45,685,673,674.8,676.25,3564618,24194.49,"HDFC"
2013-11-03,685,686.55,678.1,679.6,680.45,202348,1376.77,"HDFC"
2013-11-01,681.6,688,678.2,682.7,683.8,3910611,26701.02,"HDFC"
2013-10-31,676.2,685.05,673.4,680,680.8,4548889,30903.7,"HDFC"
2013-10-30,686,687.5,675.75,677.8,679.35,2547168,17385.83,"HDFC"
2013-10-29,668,689,655.55,687,686.5,3805729,25743.77,"HDFC"
2013-10-28,673,675,665.4,668.3,667.9,2095522,14062.57,"HDFC"
2013-10-25,665.25,674.95,663.15,670,672.55,2236718,14976.95,"HDFC"
2013-10-24,656.2,675.75,656.2,669.95,669.3,3080482,20625.43,"HDFC"
2013-10-23,669,669,653.8,658.4,660.2,3386239,22339.76,"HDFC"
2013-10-22,671,673.95,665.2,667.1,669,2189524,14647.73,"HDFC"
2013-10-21,674,678.8,662.55,671.95,671.25,2806356,18796.6,"HDFC"
2013-10-18,655.25,679.55,655.25,674.1,676.6,5320296,35681.88,"HDFC"
2013-10-17,653,659.95,642.55,653.1,654.2,3637897,23684.9,"HDFC"
2013-10-15,673,675,646.6,648.05,652.45,4035831,26584.3,"HDFC"
2013-10-14,657.55,669.3,648.65,668.85,667.5,3093930,20427.12,"HDFC"
2013-10-11,647.3,663.75,639.35,660.35,661.3,3347566,21800.11,"HDFC"
2013-10-10,649,649,633.35,643.7,641.05,2086321,13368.53,"HDFC"
2013-10-09,625.2,650.9,623,649.5,649.15,2167190,13910.46,"HDFC"
2013-10-08,650.5,654.55,625.8,629,632.65,2942037,18743.72,"HDFC"
2013-10-07,636.5,638.15,618.25,635.5,634.3,2480500,15520.5,"HDFC"
2013-10-04,635.5,647.4,635,639.75,640.45,3407094,21887.52,"HDFC"
2013-10-03,615.3,639,610,637.65,636.2,2443228,15294.57,"HDFC"
2013-10-01,598.8,614.4,589.35,612.35,611.65,3249277,19657.34,"HDFC"
2013-09-30,606,612.85,587.7,593.35,593.05,4265607,25553.78,"HDFC"
2013-09-27,622,624,605,612,608.9,4102173,25056.16,"HDFC"
2013-09-26,621.35,626,618,618.35,621.15,5645610,35075.98,"HDFC"
2013-09-25,638,641.7,613.2,619.85,620.6,5245230,32594.05,"HDFC"
2013-09-24,633.05,644.35,629.95,637.1,638.45,4543797,29042.8,"HDFC"
2013-09-23,651,652.35,633.1,640.65,641.95,3496310,22416.39,"HDFC"
2013-09-20,682.5,686.45,635.25,658.15,659.05,6181538,40648.19,"HDFC"
2013-09-19,680,689.9,676.3,683.65,683.2,7320226,49860.41,"HDFC"
2013-09-18,643.6,654.9,631.15,652.9,650.5,2747404,17646.99,"HDFC"
2013-09-17,638,645,633.6,644.65,642.25,2108022,13505.77,"HDFC"
2013-09-16,637.5,648.9,629,642.1,642.8,3034804,19479.94,"HDFC"
2013-09-13,632.45,634.5,621,628.1,629.2,3875780,24392.28,"HDFC"
2013-09-12,642.5,646,627.6,635.1,633.95,4419134,28028.88,"HDFC"
2013-09-11,633,650,625.55,643.8,647.25,3172598,20251.4,"HDFC"
2013-09-10,620.55,641,618.4,635.3,638,5074709,32131.36,"HDFC"
2013-09-06,611,620,586.75,614.2,616.2,4749304,28771.79,"HDFC"
2013-09-05,584,622.9,584,611,609.5,8311562,50015.42,"HDFC"
2013-09-04,567.45,576.85,559.15,565.55,564.05,5235450,29692.24,"HDFC"
2013-09-03,596.9,596.9,557.05,565,562.55,4535002,25869.12,"HDFC"
2013-09-02,598,604.35,582.5,588.05,589.5,4878929,28850.55,"HDFC"
2013-08-30,571,600,570.65,592,594,9154229,53593.78,"HDFC"
2013-08-29,568,582.5,568,570.7,572.05,10192751,58416.16,"HDFC"
2013-08-28,555.7,572,528,561.35,561.95,9266888,50971.61,"HDFC"
2013-08-27,597.3,600,555.45,565.8,561.9,13677093,77880.18,"HDFC"
2013-08-26,612.35,622.8,602.55,610.95,611.3,3651902,22376.84,"HDFC"
2013-08-23,592,609.15,588.3,608.35,607.55,5174611,31082.67,"HDFC"
2013-08-22,589,603.7,570,589,588.7,7562673,44325.77,"HDFC"
2013-08-21,606,619.35,590,596,593.35,7227149,43638.06,"HDFC"
2013-08-20,574.95,589.9,566.5,582,584.75,6431746,37382.31,"HDFC"
2013-08-19,587,588.6,570.3,580,584.7,5004610,28946.82,"HDFC"
2013-08-16,614,622,584.9,591.15,587.9,7014892,41761.61,"HDFC"
2013-08-14,622,623.65,608.65,620,621.35,3575927,22042.38,"HDFC"
2013-08-13,603.85,624.8,598.15,621.9,620.5,3675598,22582.01,"HDFC"
2013-08-12,610.05,610.8,598.65,600,602.2,3925217,23699.02,"HDFC"
2013-08-08,604,617.5,600,608.45,610.5,5115362,31181.76,"HDFC"
2013-08-07,609.95,614.35,600,600,601.2,5689114,34545.72,"HDFC"
2013-08-06,631,631.35,606.5,606.6,608.65,4911295,29992.62,"HDFC"
2013-08-05,631.55,635.45,615,633.6,632.7,3399593,21297.45,"HDFC"
2013-08-02,630,634.8,626.85,630.2,631.25,5003962,31572.15,"HDFC"
2013-08-01,613.9,637.8,612.4,633.2,632.2,5861652,36605.81,"HDFC"
2013-07-31,621,621.8,606.9,606.9,609.75,6706130,41171.16,"HDFC"
2013-07-30,630.75,635,620.1,626,625.35,3672771,23088.79,"HDFC"
2013-07-29,643,643,629.65,632.35,632.5,3730556,23654.86,"HDFC"
2013-07-26,656,656.25,638,645.75,644.1,2339123,15111.03,"HDFC"
2013-07-25,660.65,666,650.15,652.1,653.85,4066814,26733.05,"HDFC"
2013-07-24,674,676,653.5,661,659.95,3657187,24209.24,"HDFC"
2013-07-23,687.9,690,681.05,682.3,683.6,1853696,12734.11,"HDFC"
2013-07-22,676,687,676,682.1,682.05,1615108,11035.94,"HDFC"
2013-07-19,688.05,691.95,673.15,679.4,680,3114605,21227.79,"HDFC"
2013-07-18,669.9,688.5,656.95,682.5,684.1,3415970,22885.65,"HDFC"
2013-07-17,677.8,680.8,647.9,660.05,662.9,5658497,37571.99,"HDFC"
2013-07-16,679,684.5,669.95,678.9,678.7,2911846,19742.72,"HDFC"
2013-07-15,691,698.05,684,695,695.45,2127972,14708.34,"HDFC"
2013-07-12,687,697.7,681.8,696.2,695.75,3908713,26937.27,"HDFC"
2013-07-11,667,686.7,666.05,679.95,683.25,2649892,18045.63,"HDFC"
2013-07-10,670.25,671.9,656.15,656.15,659.3,1784645,11835.32,"HDFC"
2013-07-09,662.2,673.75,662.2,670.45,670.3,1760048,11794.9,"HDFC"
2013-07-08,664,667.45,652.75,659.65,660.45,1792324,11830.43,"HDFC"
2013-07-05,660.1,672.75,658.5,667.1,667.75,2385874,15911.87,"HDFC"
2013-07-04,653.8,657.45,645.7,655.6,655.15,2397765,15640.16,"HDFC"
2013-07-03,654,654.7,643.6,652.05,650.65,3346565,21702.89,"HDFC"
2013-07-02,668.7,668.75,654.3,658.3,656.55,2295788,15154.55,"HDFC"
2013-07-01,669,674,664.65,670.9,668.75,2459671,16478.82,"HDFC"
2013-06-28,649.5,673.2,649.1,666.5,669.5,5270670,35017.17,"HDFC"
2013-06-27,634,652.7,622.35,643.1,646.5,6750890,43317.05,"HDFC"
2013-06-26,631.5,637.65,620,620.4,622.85,2619005,16508.04,"HDFC"
2013-06-25,626,646.4,622.4,632.95,634,4671608,29790,"HDFC"
2013-06-24,631.8,633.85,623.75,626,625.35,2692013,16918.63,"HDFC"
2013-06-21,636.8,642.55,630.1,633.4,635.25,4474961,28446.32,"HDFC"
2013-06-20,658.85,658.85,634.6,635.2,636.6,3784511,24299.63,"HDFC"
2013-06-19,656.1,666.6,652.85,665.2,665.2,2411739,15928.86,"HDFC"
2013-06-18,668,668,655,659.3,657.45,3111642,20579.64,"HDFC"
2013-06-17,665.6,669.2,657.35,668.3,667.35,3267727,21688.15,"HDFC"
2013-06-14,662,668.45,659.3,663.05,665.05,3741303,24853.67,"HDFC"
2013-06-13,657.6,661,653.35,656.35,655.1,1787434,11731.94,"HDFC"
2013-06-12,662,673.4,658.45,664,663.95,2453913,16356.12,"HDFC"
2013-06-11,673.45,680.9,662.2,665,664.9,2955215,19823.21,"HDFC"
2013-06-10,681.05,687,671.5,681,676.35,1592003,10784.6,"HDFC"
2013-06-07,681.75,693.4,673.2,678.15,676.15,2389056,16280.51,"HDFC"
2013-06-06,683.5,689.4,678,681.3,682.2,1779103,12152.75,"HDFC"
2013-06-05,682,694.4,678.5,689.85,687.95,1890919,12998.16,"HDFC"
2013-06-04,687.3,693.8,681,682.65,683.05,1404081,9643.97,"HDFC"
2013-06-03,698,701.4,686.55,687.2,689.15,1972531,13665.86,"HDFC"
2013-05-31,717.25,720.7,697.7,699.5,700.5,3083224,21700.36,"HDFC"
2013-05-30,710.1,727.3,710.1,722.15,725.15,3839364,27734.79,"HDFC"
2013-05-29,710.05,718.45,703.85,715.5,715.95,1233373,8768.17,"HDFC"
2013-05-28,714.25,720.8,706.8,712.2,713.3,1676979,11971.68,"HDFC"
2013-05-27,698.6,717,698.6,715.1,715.05,2248802,16030.27,"HDFC"
2013-05-24,705.75,705.75,694.3,702.95,701.35,2066060,14476.47,"HDFC"
2013-05-23,699,706.45,694.3,698,698.6,1976312,13838.85,"HDFC"
2013-05-22,707.5,712,698,706,703.45,1353028,9505.85,"HDFC"
2013-05-21,714,718,705.05,705.75,707.8,2301625,16353.77,"HDFC"
2013-05-20,719.5,724,712.15,716.9,714.5,1460402,10478.21,"HDFC"
2013-05-17,722.5,722.5,709.2,718,718.9,3204963,22964.87,"HDFC"
2013-05-16,712,724,711,722.5,722.8,2915154,20999.72,"HDFC"
2013-05-15,693.5,716,691.35,714.4,714.85,3543370,25112.35,"HDFC"
2013-05-14,690.05,694.9,685.1,688.5,689.05,1663419,11475.07,"HDFC"
2013-05-13,705,711.45,690.8,692.75,692.75,2398493,16868.89,"HDFC"
2013-05-11,702.1,705,701.15,705,702.8,219025,1539.21,"HDFC"
2013-05-10,688.7,704.9,688.65,704,703.35,3478314,24328.46,"HDFC"
2013-05-09,699.05,699.5,688.2,690.9,690.05,1130840,7854.44,"HDFC"
2013-05-08,689,699.5,686.5,698.6,697.15,2163489,15006.97,"HDFC"
2013-05-07,676.3,689.9,672.5,688.15,688.05,2774616,18915.98,"HDFC"
2013-05-06,679,679.3,669.95,677.7,675.5,1918365,12907.95,"HDFC"
2013-05-03,692.6,694,678.65,680.5,680.95,3071646,21037.95,"HDFC"
2013-05-02,684.4,694,682.3,693.8,692.5,3075817,21235.99,"HDFC"
2013-04-30,694,695.95,676.8,682.1,682.3,3138068,21444.52,"HDFC"
2013-04-29,688.25,696.85,686.5,693.5,695.15,2918858,20281.25,"HDFC"
2013-04-26,687.65,692.25,683,687.3,689.1,2142186,14728.91,"HDFC"
2013-04-25,692.35,695,680.05,689.45,689.55,6473781,44548.14,"HDFC"
2013-04-23,698.8,700,678.8,685.35,689,5965890,41093.8,"HDFC"
2013-04-22,674.7,702,674.7,701.35,698.3,4965038,34514.72,"HDFC"
2013-04-18,654,675.4,654,673,673.6,2305946,15373.57,"HDFC"
2013-04-17,665,671.85,656.8,660.65,660.1,3739237,24820.59,"HDFC"
2013-04-16,643,665.85,642.35,665.85,663.35,3435078,22637.71,"HDFC"
2013-04-15,642.1,643.45,635,641.3,641.55,3980942,25460.58,"HDFC"
2013-04-12,636.1,645.85,636.1,641.3,643.7,3801520,24391.37,"HDFC"
2013-04-11,632.5,642,631.9,639.1,639.25,6266517,39965.96,"HDFC"
2013-04-10,626.8,633.65,618.95,628,632,3786126,23717.43,"HDFC"
2013-04-09,628.1,628.1,617.4,620.6,620.6,3690102,22977.05,"HDFC"
2013-04-08,618.95,628.95,617.75,625,624.45,2163032,13490.49,"HDFC"
2013-04-05,614.95,626.4,613.4,623.15,620.95,3239980,20089.05,"HDFC"
2013-04-04,618.8,623.4,613.45,614.95,616.15,2045496,12655.06,"HDFC"
2013-04-03,628,631.65,619.5,620.9,623.65,1675904,10517.46,"HDFC"
2013-04-02,625,634.3,617.9,628.15,629.9,1714355,10758.31,"HDFC"
2013-04-01,624.65,629,621,624.9,623.85,1677193,10482.14,"HDFC"
2013-03-28,616.5,631.15,606.95,627.1,625.35,4874023,30033.79,"HDFC"
2013-03-26,606,617.5,602.55,612.95,614.5,3318601,20358.17,"HDFC"
2013-03-25,611,613.35,607.55,611,609.4,6799744,41505.18,"HDFC"
2013-03-22,609,614.6,602.6,604,605.25,7381475,45028.33,"HDFC"
2013-03-21,622.65,628.8,603.75,604,607,3613147,22229.82,"HDFC"
2013-03-20,632,633.45,621,624.55,625.5,2834109,17758.45,"HDFC"
2013-03-19,643,643.8,624,632.25,631.55,5007115,31709.1,"HDFC"
2013-03-18,633,654,630,640.55,643.3,4390481,28208.71,"HDFC"
2013-03-15,645,649.9,633.8,641.85,639.4,3859902,24719.78,"HDFC"
2013-03-14,634.9,653.5,615.35,651.45,649.25,7978609,50804.04,"HDFC"
2013-03-13,641.05,645.9,632.2,636,634.9,1978343,12622.58,"HDFC"
2013-03-12,653,655.7,640.1,643,644,1723931,11151.93,"HDFC"
2013-03-11,657.3,659.7,650.25,654.05,655.25,2126146,13920.4,"HDFC"
2013-03-08,644.2,660,643.4,656.25,657.3,2649215,17241.22,"HDFC"
2013-03-07,628.35,642.95,627.15,641.3,641.8,1487746,9426.59,"HDFC"
2013-03-06,634.95,637.15,629,632.05,630.5,2733329,17300.52,"HDFC"
2013-03-05,630.9,634.7,623.15,632.7,632.95,2639395,16617.35,"HDFC"
2013-03-04,620.35,630.3,618,627.65,627.65,2992450,18669.86,"HDFC"
2013-03-01,625,629.6,616.3,619.45,622.5,4305182,26829.12,"HDFC"
2013-02-28,646.95,654.95,619.35,631,625.35,6971751,44095.12,"HDFC"
2013-02-27,652.3,654,640.9,644.45,642.75,3217834,20731.59,"HDFC"
2013-02-26,654.8,663,645.4,647.3,651.25,2935660,19234.57,"HDFC"
2013-02-25,663.25,665.2,654.1,654.45,656.45,1888236,12460.26,"HDFC"
2013-02-22,662.2,666.4,657.55,659,659.3,1927096,12760.25,"HDFC"
2013-02-21,675,677.45,664.05,664.1,666.25,2717968,18227.43,"HDFC"
2013-02-20,677.5,680.8,674.9,677.5,676.95,1715421,11623.36,"HDFC"
2013-02-19,674.5,677.4,671.55,674.05,674.8,593703,4007.56,"HDFC"
2013-02-18,678,680.9,674,674.65,676,2367291,16068.26,"HDFC"
2013-02-15,671.7,680.8,668.2,676.4,676.75,3122195,21157.1,"HDFC"
2013-02-14,664,678.4,662,673.95,674.8,4421038,29720.39,"HDFC"
2013-02-13,663.3,667.4,659.5,662.3,664.2,3627208,24087.32,"HDFC"
2013-02-12,655.65,667,655.65,664.1,665.2,3958209,26200.23,"HDFC"
2013-02-11,650,659.95,650,656.35,656.95,3791765,24880.31,"HDFC"
2013-02-08,640.5,653.4,640.5,648.5,650.05,4706664,30544.77,"HDFC"
2013-02-07,636.3,643,634.55,642,641.5,2270709,14517.66,"HDFC"
2013-02-06,646.6,646.9,637.2,639.5,639.5,2468397,15796.86,"HDFC"
2013-02-05,636.35,647.2,636.35,643.5,644.15,1865005,11992.05,"HDFC"
2013-02-04,641.15,649.5,640,645.05,646.9,2618950,16928.06,"HDFC"
2013-02-01,644.8,644.85,636.2,639,640.15,2621036,16755.25,"HDFC"
2013-01-31,656.6,657.9,640.1,643,643.05,3472096,22451.27,"HDFC"
2013-01-30,653,658.4,644,657.75,656.65,2509908,16386,"HDFC"
2013-01-29,670.75,670.9,650,652.6,652.45,2990437,19708.03,"HDFC"
2013-01-28,665.25,672,664.45,669.1,670.35,1842005,12321.96,"HDFC"
2013-01-25,660.3,667,655.55,665.15,665.05,1397433,9250.14,"HDFC"
2013-01-24,655.6,662.75,655.25,662,660.3,1536990,10138.96,"HDFC"
2013-01-23,657,663,654.35,659.05,656.6,1769935,11660.04,"HDFC"
2013-01-22,658.5,661,647.55,654.55,653.75,2121532,13936.08,"HDFC"
2013-01-21,660,663.4,654.75,656.45,658.55,2713680,17895.33,"HDFC"
2013-01-18,670,674,655.3,659,662.85,5056173,33626.49,"HDFC"
2013-01-17,657.7,670.85,654.05,665.9,666.8,3211036,21310.74,"HDFC"
2013-01-16,665.55,669.2,657.6,660.85,660.5,2287689,15206.6,"HDFC"
2013-01-15,670.8,675.45,665,667.45,668.3,2065844,13807.97,"HDFC"
2013-01-14,668.15,670.5,667.1,669.35,669.3,2847437,19053.01,"HDFC"
2013-01-11,676.9,676.9,666.7,668,669.3,2570857,17228.05,"HDFC"
2013-01-10,669.5,678,666.5,674,675.8,2282592,15382.35,"HDFC"
2013-01-09,672,672.55,666.05,667.55,667.5,3217991,21559.18,"HDFC"
2013-01-08,668,673.4,665.7,670.2,670.25,2471299,16541.45,"HDFC"
2013-01-07,683.7,683.7,666,668,668.2,2751142,18461.09,"HDFC"
2013-01-04,685,685,672.8,679.85,679.35,2721127,18418.09,"HDFC"
2013-01-03,690,690,680.4,682.45,683.35,2285683,15650.14,"HDFC"
2013-01-02,689.9,690,683.05,688.15,687.35,2427399,16675.32,"HDFC"
2013-01-01,682.1,685.1,679.65,683.6,684.5,1007303,6876.66,"HDFC"
2012-12-31,677,680,674,678.1,678.6,1276822,8641.98,"HDFC"
2012-12-28,681.1,683,674.15,676.2,677.65,1756066,11896.88,"HDFC"
2012-12-27,684,684,676.7,682,680.1,2464542,16741.49,"HDFC"
2012-12-26,678.1,684.85,673.1,680,680.3,1430804,9730.35,"HDFC"
2012-12-24,680,680.15,671.8,677,676.1,1370563,9249.66,"HDFC"
2012-12-21,681,682,674.05,676.15,676,2771561,18757.51,"HDFC"
2012-12-20,686,687,680.25,682.95,683.4,2565187,17516.58,"HDFC"
2012-12-19,674.55,689.25,674.5,687.7,688,4122253,28183.48,"HDFC"
2012-12-18,677.95,682.2,669.75,676,675.95,3343768,22598.73,"HDFC"
2012-12-17,687.9,687.9,673.6,677.7,676.5,3057553,20751.38,"HDFC"
2012-12-14,690.05,694.4,685.35,688.85,688.75,2093473,14433.09,"HDFC"
2012-12-13,693.85,696,689,690.55,691.05,1570808,10886.28,"HDFC"
2012-12-12,691.25,696,688.5,693.7,693.85,1934126,13396.55,"HDFC"
2012-12-11,695.25,699,686.3,690.75,690.85,3375138,23399.65,"HDFC"
2012-12-10,690,696.5,689.65,693.1,693,2081026,14415.17,"HDFC"
2012-12-07,695.25,698,688,691.6,693.1,1984158,13712.75,"HDFC"
2012-12-06,695.8,698.5,680.8,695.95,694.75,2726138,18718.86,"HDFC"
2012-12-05,689,695,687,693,692.6,2304965,15972.63,"HDFC"
2012-12-04,684.1,690,681.05,686.2,685.15,2169872,14849.21,"HDFC"
2012-12-03,700,701.15,684,686.75,686.95,2909085,20025.97,"HDFC"
2012-11-30,701,705.5,689.6,703,703.95,3909823,27364.8,"HDFC"
2012-11-29,677.5,703.75,675.4,702.3,699.85,6299863,43625.73,"HDFC"
2012-11-27,664.9,683.8,664.9,681,680.5,4125668,27984.85,"HDFC"
2012-11-26,673,673.7,660.1,660.75,661.9,1370384,9088.14,"HDFC"
2012-11-23,669.5,672.6,659.05,669,669.75,1312428,8748.42,"HDFC"
2012-11-22,666.8,671.15,664,670,669.1,2110241,14107.31,"HDFC"
2012-11-21,655.15,665.5,649.7,665.05,663.7,3232446,21289.48,"HDFC"
2012-11-20,649.1,655.9,648.25,655.15,653.85,2338347,15259.52,"HDFC"
2012-11-19,639.75,647.9,639.45,646.4,646.75,1446987,9312.65,"HDFC"
2012-11-16,643,648.6,640.15,641.5,642.25,3025706,19518.45,"HDFC"
2012-11-15,647,647.4,639,644.4,646.25,2360585,15195.26,"HDFC"
2012-11-13,651,651.9,646.2,647.5,647.05,104547,677.37,"HDFC"
2012-11-12,637.25,653.8,637.25,653.1,651.3,2414364,15623.53,"HDFC"
2012-11-09,638.25,643,635,639,639.35,1105194,7068.05,"HDFC"
2012-11-08,636.5,641,635.5,639.6,639,966950,6175.36,"HDFC"
2012-11-07,639.75,645,636.9,641,640.05,2050165,13148.48,"HDFC"
2012-11-06,633.95,641.2,633.95,641.2,639.55,1819521,11616.37,"HDFC"
2012-11-05,632,636,630.75,635.55,635,1005532,6370.63,"HDFC"
2012-11-02,638,638,628,632,630.3,1358193,8568.16,"HDFC"
2012-11-01,632.75,635.7,627.5,628.1,628.6,1764615,11144.06,"HDFC"
2012-10-31,634.1,635.9,630.05,631.4,634.2,1873242,11862.73,"HDFC"
2012-10-30,637.05,644.8,630.6,632.65,633.65,2208726,14082.45,"HDFC"
2012-10-29,637.85,642.5,635.55,640.5,640.6,1378082,8820.65,"HDFC"
2012-10-26,636.65,639.8,631,637,637.15,1670317,10579.21,"HDFC"
2012-10-25,632.65,641,629,641,637.35,4252835,27019.75,"HDFC"
2012-10-23,639.05,639.5,632.5,635.05,634.1,2083240,13207.84,"HDFC"
2012-10-22,625.2,640,625.2,639.9,639,2060351,13095.73,"HDFC"
2012-10-19,632,635,627,627,628.5,2263850,14250.35,"HDFC"
2012-10-18,630,637.9,624.45,635.95,636.2,1404615,8887.06,"HDFC"
2012-10-17,632,632.5,626.5,628,628.1,1608443,10106.93,"HDFC"
2012-10-16,635.25,635.5,628.1,629.05,630.4,1818459,11464.47,"HDFC"
2012-10-15,632.4,634.9,622.6,633.95,634.15,1893017,11925.53,"HDFC"
2012-10-12,630,635,626,629.2,631.15,3876602,24424,"HDFC"
2012-10-11,621.15,627.8,618.45,627.8,624.85,2453233,15315.58,"HDFC"
2012-10-10,624,624,616.2,617.7,617.95,1073754,6645.34,"HDFC"
2012-10-09,624.95,630.5,622,624.25,625.75,1077692,6753.56,"HDFC"
2012-10-08,623.9,623.9,616.55,621.5,620.7,2322668,14415.69,"HDFC"
2012-10-05,638,638.65,505.05,621.45,622.4,3736756,23270.64,"HDFC"
2012-10-04,621.5,633.9,621.45,631.55,631.3,3163016,19941.31,"HDFC"
2012-10-03,624,626.8,617.95,619.15,619.45,2758057,17109.64,"HDFC"
2012-10-01,629,632,620,622.15,622.85,2013696,12551.24,"HDFC"
2012-09-28,631.9,634.3,626.1,627.7,629.15,2751922,17324.88,"HDFC"
2012-09-27,633,637,625.2,627,630.8,3965436,25012.91,"HDFC"
2012-09-26,634.85,636.6,624.15,631.3,630.75,2682627,16874.73,"HDFC"
2012-09-25,633,638.9,626.15,637,636.9,2921536,18498.34,"HDFC"
2012-09-24,625.5,636.9,622.8,634.4,635,4393720,27700.1,"HDFC"
2012-09-21,608.7,629,605.1,628.95,625.15,5900712,36526.13,"HDFC"
2012-09-20,602,610,601,607,606.9,2622832,15872.06,"HDFC"
2012-09-18,608.3,612,603.85,607,605.45,2509794,15253,"HDFC"
2012-09-17,619,619.95,605.5,606.65,608.3,5271712,32262.01,"HDFC"
2012-09-14,606.6,614.75,600.95,612.5,612.75,6442805,39172.62,"HDFC"
2012-09-13,601,601.5,593.55,600,599.2,849940,5082.75,"HDFC"
2012-09-12,595.25,600,593.9,599.4,599.2,1597754,9547.11,"HDFC"
2012-09-11,588.75,597,583.35,596,594.4,1577886,9303.8,"HDFC"
2012-09-10,591.5,597,589.35,590.3,591.15,1508723,8939.49,"HDFC"
2012-09-08,590.55,592.8,590.55,590.55,591.05,58599,346.48,"HDFC"
2012-09-07,594.25,595,585.7,590.8,590.4,2801287,16537.64,"HDFC"
2012-09-06,590.1,593.5,586.1,587.55,588.15,1274363,7525.19,"HDFC"
2012-09-05,588,596,587.35,592,592.1,3039618,18018.13,"HDFC"
2012-09-04,590.55,592.35,587.2,591,590.1,1443147,8515.83,"HDFC"
2012-09-03,597.55,597.8,588,588.3,590.45,1859454,11053.15,"HDFC"
2012-08-31,590.35,600,589.25,596,595.35,3126685,18619.29,"HDFC"
2012-08-30,586,602,586,592.25,595.9,5679101,33755.11,"HDFC"
2012-08-29,589.25,595.8,586.25,590,588.55,1682407,9958.36,"HDFC"
2012-08-28,592.9,594.55,586.5,588.2,589.35,2223991,13119.82,"HDFC"
2012-08-27,595,598.9,592.05,593.2,594.35,1011681,6019.63,"HDFC"
2012-08-24,593.5,600.4,593.25,595.1,596.3,1677094,10019.97,"HDFC"
2012-08-23,599.4,604.55,595.25,598,597.7,2356262,14126.27,"HDFC"
2012-08-22,594.4,600.45,591.35,596.75,596.9,2395215,14327.5,"HDFC"
2012-08-21,595,598.5,588.2,596.1,596.4,2085210,12339.18,"HDFC"
2012-08-17,598.6,602.25,591.8,593.9,595.1,1921539,11464.33,"HDFC"
2012-08-16,608,608.15,597.85,600.35,600.05,2035824,12239.55,"HDFC"
2012-08-14,607.05,609,603.25,607.45,608.15,2806392,17025.89,"HDFC"
2012-08-13,600,609.5,600,604.75,607.45,2105426,12717.98,"HDFC"
2012-08-10,600,606.9,599.65,602.35,602.15,3781855,22790.24,"HDFC"
2012-08-09,601,607,598.5,605.55,604.65,2468280,14917.13,"HDFC"
2012-08-08,600,602,594.7,599.5,598.9,2013279,12056.96,"HDFC"
2012-08-07,602,602.3,597,600.1,600.1,2807191,16837.62,"HDFC"
2012-08-06,593.15,602,593,599.8,600.25,3082294,18451.63,"HDFC"
2012-08-03,581,589,579.75,588,588.2,2487875,14518.38,"HDFC"
2012-08-02,586.5,589.2,577.3,582.5,582.5,1721365,9986.16,"HDFC"
2012-08-01,585.55,588.35,577.6,587.95,586.5,1967747,11493.86,"HDFC"
2012-07-31,590,590,579.85,589.4,587.75,2097852,12297.41,"HDFC"
2012-07-30,587.1,591.9,584,587.5,587.25,2116571,12441.38,"HDFC"
2012-07-27,572,588.7,564.65,587,584.6,3357718,19564.64,"HDFC"
2012-07-26,578,578.75,563,567,565.8,4426354,25146.49,"HDFC"
2012-07-25,574.45,580.8,573.7,575.7,576.05,2203926,12720.4,"HDFC"
2012-07-24,572.55,577.45,570.2,575.65,574.05,1326397,7612.79,"HDFC"
2012-07-23,577.4,580,571.05,572.7,573,1523632,8757.22,"HDFC"
2012-07-20,589,589,581,583,582.6,1042236,6080.19,"HDFC"
2012-07-19,588.6,590.8,585.55,589.15,589.4,1200112,7070.72,"HDFC"
2012-07-18,584.7,588.7,580.1,587.3,587,1779499,10413.76,"HDFC"
2012-07-17,587,588.75,578.6,584.45,583.25,2134839,12445.68,"HDFC"
2012-07-16,588,592.7,581.05,583,582.65,3212540,18871.73,"HDFC"
2012-07-13,585,591.4,582.45,586,587.05,2377143,13959.98,"HDFC"
2012-07-12,583.9,590.9,575.6,580,580.1,1895937,10998.94,"HDFC"
2012-07-11,586.9,593.8,585.1,587.8,587,3074861,18105.77,"HDFC"
2012-07-10,580,592.3,577.5,588.9,588.65,3385754,19783.71,"HDFC"
2012-07-09,579.95,581.75,569.1,581.2,578.15,1915290,11003.06,"HDFC"
2012-07-06,582.1,589,578.5,581.7,581.5,3935380,22994,"HDFC"
2012-07-05,577.9,585,575.45,584.9,584.1,2095382,12165.13,"HDFC"
2012-07-04,576.7,580.85,575.65,578.6,578,3202571,18517.09,"HDFC"
2012-07-03,575.9,580,571.7,575.4,575.85,2116700,12208.79,"HDFC"
2012-07-02,564,575,560,575,573.95,2050381,11657.68,"HDFC"
2012-06-29,552.1,564.9,552.05,561.9,563.55,3164793,17717.2,"HDFC"
2012-06-28,546.9,552.65,543.25,543.25,548.5,3035610,16650.86,"HDFC"
2012-06-27,546,554.7,546,548.35,549,2984322,16431.72,"HDFC"
2012-06-26,538,548,536.3,545,543.45,1463282,7950.97,"HDFC"
2012-06-25,545.4,548.5,535,535.05,536.7,1593712,8667.96,"HDFC"
2012-06-22,535.1,545.1,535.1,544.85,544.35,1542204,8342.46,"HDFC"
2012-06-21,533,544.7,531.3,542.55,542.9,2663164,14344.08,"HDFC"
